id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1.074354567754691e+18,Urban Mirage: 4BR City Oasis with Balcony,550629322,The Pelican,,Central Business District,29.94738,-90.06578,Entire home/apt,546.0,1,0,,,44,282,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.074356865116164e+18,Urban Retreat Oasis: 4BR City Condo with Patio,550629322,The Pelican,,Central Business District,29.94657,-90.0678,Entire home/apt,514.0,1,0,,,44,285,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.0744457811537832e+18,Elegant 1BR Condo in NOLA near the French Quarter,548480716,California Building,,Central Business District,29.9545479,-90.0743526,Entire home/apt,180.0,1,1,2024-02-14,1.0,60,313,1,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.0744863611153332e+18,Urban Elegance: 1BR Condo in California Building,548480716,California Building,,Central Business District,29.9545479,-90.0743526,Entire home/apt,170.0,1,1,2024-02-04,0.79,60,302,1,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.0745101354113564e+18,California Building Studio near City Hot Spots,548480716,California Building,,Central Business District,29.9545479,-90.0743526,Entire home/apt,149.0,1,3,2024-02-29,3.0,60,312,3,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.0746164048486298e+18,New Construction Home | Quiet Neighborhood,468556876,Aujenee,,Tulane - Gravier,29.95813183,-90.08720365,Entire home/apt,404.0,2,0,,,4,250,0,"23-CSTR-07547, 22-OSTR-11668"
1.0747412818274212e+18,~Orange Tree Retreat in Uptown 1B1B~,114068121,Kasey,,East Riverside,29.91998728,-90.09640823,Entire home/apt,72.0,30,0,,,1,89,0,
9.739298248542451e+17,Spacious New Orleans Retreat w/ Wet Bar + Yard!,456477857,Evolve,,Tall Timbers - Brechtel,29.92589,-90.02958,Entire home/apt,155.0,2,8,2024-03-04,1.62,39,278,8,"22-RSTR-09480, 22-OSTR-09476"
1.0748748258589692e+18,Vieux Carré Royalty with Designer Sophistication,2463502,Romy,,French Quarter,29.96175,-90.06032,Entire home/apt,193.0,5,1,2024-02-14,1.0,3,318,1,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.0768995918189184e+18,3BD/3B New Unit Downtown,544722946,My NOLA Vacation Rentals,,Central Business District,29.9537991,-90.074732,Entire home/apt,296.0,1,0,,,41,318,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.0749668316605294e+18,"Central Midcity 2.5 BR, minutes to French Quarter",158791227,Mosab,,Mid-City,29.96187779,-90.09610796,Entire home/apt,151.0,1,10,2024-03-08,10.0,1,135,10,"20RSTR-12345, 20OSTR-12345"
