id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
9.458673931133503e+17,Gold Coast 1BR Hideaway w/ Spacious Living Area,516729738,Sania,,Near North Side,41.89898,-87.62654,Entire home/apt,102.0,1,22,2024-02-19,3.32,9,113,22,R21000063383
9.458778800105009e+17,Luxe 2-Level PH + Spa House Retreat! Pets Welcome,289396383,Matthew,,Humboldt Park,41.91305,-87.71836,Entire home/apt,349.0,1,3,2023-12-09,0.56,3,92,3,R23000097922
9.458906498923553e+17,Refined Studio Retreat with In-Unit Laundry,435770634,Nico And Dyan,,Near North Side,41.89748982,-87.62624519,Entire home/apt,98.0,1,26,2024-03-07,3.58,10,128,26,R21000063379
9.459693618641754e+17,*BRAND NEW* Luxury Apt in Downtown Chicago,89755474,Victor,,Loop,41.87155107,-87.63430274,Entire home/apt,106.0,32,2,2023-11-18,0.3,3,140,2,
9.462468088148787e+17,Bold Bohemian Splendor | 1PBR | Pilsen,43933909,Nat,,North Lawndale,41.86462177,-87.69457318,Private room,41.0,1,3,2024-03-15,2.14,20,2,3,R23000103897
9.462570373911192e+17,Bold Bohemian Splendor | 1PBR | Pilsen,43933909,Nat,,North Lawndale,41.86278123,-87.69651389,Private room,41.0,1,3,2024-03-20,1.8,20,2,3,R23000103897
9.463424073269677e+17,booking for 2 plus 1more,489086639,Victoria,,East Side,41.70185,-87.52842,Private room,45.0,1,5,2024-02-15,0.79,2,265,5,R23000096558
9.46562224628344e+17,Historic Worker's Cottage,2763879,Sarah,,Pullman,41.68681521,-87.61007278,Entire home/apt,115.0,2,7,2024-03-03,1.12,1,96,7,R23000106796
9.465975000333683e+17,"Lincoln Park: 2BR a/c, w/d, nr Oz Park & L Train",528700940,Rove Homes,,Lincoln Park,41.92052144,-87.64844109,Entire home/apt,145.0,2,2,2024-01-09,0.5,1,46,2,R23000110280
9.466510029069784e+17,Standard King Bed Hotel Room at   Magnificent Mile,425863337,St. Clair Hotel Chicago,,Near North Side,41.89286,-87.62213,Entire home/apt,101.0,1,91,2024-03-18,13.79,2,121,91,R22056986324
9.469487958690993e+17,Modern Vintage Walkable to Dining & Lakeshore,41554295,Alfredo,,Edgewater,41.9846,-87.66496,Entire home/apt,114.0,2,23,2024-03-18,3.09,1,246,23,R23000095391
9.470906125001288e+17,Suncatcher Condo in Logan Square,104036361,Julie,,Logan Square,41.92802163,-87.71886711,Entire home/apt,109.0,32,0,,,1,255,0,
9.474350953341062e+17,Downtown PH GreatView Huge Patio* Read Description,528930334,Shawn,,Loop,41.88468153,-87.63438328,Entire home/apt,1086.0,1,0,,,1,212,0,R23000108475
9.475812690263104e+17,River North Apt.  w/ River View,879929,Dipan,,Near North Side,41.89042,-87.62563,Entire home/apt,107.0,32,1,2023-12-02,0.26,1,215,1,
9.47741672309817e+17,South-loop Studio (303),529012129,Qiuping,,Loop,41.87368,-87.62639,Private room,160.0,32,12,2024-03-17,1.87,4,218,12,R24000115087
9.477731992778952e+17,Old Town Chicago Home,476089434,Pat,,Lincoln Park,41.91335,-87.636,Entire home/apt,151.0,1,20,2024-03-17,3.05,1,152,20,R22000092433
9.479459507156282e+17,Cozy apartment near Oak Park!,400303240,Kassem,,Austin,41.89932121,-87.77017001,Entire home/apt,61.0,3,3,2024-03-02,0.63,1,325,3,R23000107720
9.479664399559363e+17,Versacé Loft Downtown Chicago-Luxurious and Modern,374948656,Ozair,,Near North Side,41.89179724,-87.62672373,Entire home/apt,,2,15,2024-02-04,2.09,1,0,15,R23000101862
9.480733786692367e+17,Lovely 3 BR. Great Location!,483243086,Roberto,,Humboldt Park,41.9135125,-87.7044161,Entire home/apt,178.0,2,13,2024-03-17,1.67,1,303,13,R22000092232
9.480891006421699e+17,"Beautiful PVT Rm, Near U of C  hospital",425522201,Steven,,Douglas,41.82887,-87.62724,Private room,65.0,2,6,2024-02-18,0.88,9,73,6,R23000106414
9.481749443055245e+17,Mahogany Room,527346478,Yuliia,,North Lawndale,41.85976426,-87.69487922,Private room,60.0,1,17,2024-03-15,2.22,5,260,17,R23000106148
9.4818811643445e+17,Poplar Room,527346478,Yuliia,,North Lawndale,41.86022389,-87.69508244,Private room,60.0,1,11,2024-03-17,1.43,5,270,11,R23000106148
9.481943646726849e+17,Maple Room,527346478,Yuliia,,North Lawndale,41.85845,-87.69353,Private room,60.0,1,10,2023-11-06,1.29,5,270,10,R23000106148
9.483855330666048e+17,Southloop Studio (309),529012129,Qiuping,,Loop,41.87115643,-87.62805518,Private room,165.0,32,5,2023-10-22,0.85,4,254,5,2807654
9.484194087955553e+17,OldTown Large Stufio with Balcony,35804478,Özlem,,Near North Side,41.90879827,-87.63471786,Entire home/apt,108.0,32,6,2024-01-13,0.95,4,193,6,R23000103656
9.484497676841325e+17,Chicago apartment suite,529226301,Wladyslawa,,Portage Park,41.93925,-87.76603,Entire home/apt,120.0,1,5,2023-12-31,0.65,1,252,5,R23000105600
9.485069486182208e+17,Eclectic City Haven,440569022,Jessica,,West Town,41.9063725,-87.6946856,Private room,97.0,2,6,2023-10-15,0.77,1,347,6,R23000104955
9.485293880679258e+17,El Motel Dos Co-Living > The Dreamer's Room,4069585,Liz,,Logan Square,41.925285,-87.7007686,Private room,30.0,32,0,,,6,102,0,
9.485712088476173e+17,"Andersonville, amazing location, 3 beds 1.5 bath",42041330,Barbara,,Edgewater,41.9773775,-87.666917,Entire home/apt,175.0,3,13,2024-03-11,2.05,1,54,13,R23000108470
9.486966332725029e+17,Bright & Cozy 1BR w/ In-Unit Laundry,490752114,Sevyn,,Lake View,41.94691143,-87.64781983,Entire home/apt,84.0,1,37,2024-03-05,4.83,9,169,37,R23000107574
9.487517487141181e+17,Chic Furnished Studio w/ Laundry,490752114,Sevyn,,Lake View,41.94666196,-87.64801542,Entire home/apt,66.0,1,92,2024-03-09,11.9,9,177,92,R23000107571
9.487776045502765e+17,2 Guest Private BR in Bridgeport,514776477,Ralph,,Bridgeport,41.84216582,-87.65450277,Private room,27.0,32,6,2023-10-16,0.77,64,268,6,R22000093402
